Control,cfg_ra,cfg_sa
P1_JOYSTICK_UP,KEYCODE_UP OR JOYCODE_1_YAXIS_UP_SWITCH OR JOYCODE_1_HAT1UP OR JOYCODE_2_HAT1UP OR JOYCODE_3_HAT1UP OR JOYCODE_4_HAT1UP,KEYCODE_UP OR JOYCODE_1_YAXIS_UP_SWITCH OR JOYCODE_2_HAT1UP OR JOYCODE_3_YAXIS_UP_SWITCH OR JOYCODE_4_YAXIS_UP_SWITCH
P1_JOYSTICK_DOWN,KEYCODE_DOWN OR JOYCODE_1_YAXIS_DOWN_SWITCH OR JOYCODE_1_HAT1DOWN OR JOYCODE_2_HAT1DOWN OR JOYCODE_3_HAT1DOWN OR JOYCODE_4_HAT1DOWN,KEYCODE_DOWN OR JOYCODE_1_YAXIS_DOWN_SWITCH OR JOYCODE_2_HAT1DOWN OR JOYCODE_3_YAXIS_DOWN_SWITCH OR JOYCODE_4_YAXIS_DOWN_SWITCH
P1_JOYSTICK_LEFT,KEYCODE_LEFT OR JOYCODE_1_XAXIS_LEFT_SWITCH OR JOYCODE_1_HAT1LEFT OR JOYCODE_2_HAT1LEFT OR JOYCODE_3_HAT1LEFT OR JOYCODE_4_HAT1LEFT,KEYCODE_LEFT OR JOYCODE_1_XAXIS_LEFT_SWITCH OR JOYCODE_2_HAT1LEFT OR JOYCODE_3_XAXIS_LEFT_SWITCH OR JOYCODE_4_XAXIS_LEFT_SWITCH
P1_JOYSTICK_RIGHT,KEYCODE_RIGHT OR JOYCODE_1_XAXIS_RIGHT_SWITCH OR JOYCODE_1_HAT1RIGHT OR JOYCODE_2_HAT1RIGHT OR JOYCODE_3_HAT1RIGHT OR JOYCODE_4_HAT1RIGHT,KEYCODE_RIGHT OR JOYCODE_1_XAXIS_RIGHT_SWITCH OR JOYCODE_2_HAT1RIGHT OR JOYCODE_3_XAXIS_RIGHT_SWITCH OR JOYCODE_4_XAXIS_RIGHT_SWITCH
P1_BUTTON1,JOYCODE_1_BUTTON2 OR JOYCODE_2_BUTTON2 OR JOYCODE_3_BUTTON2 OR JOYCODE_4_BUTTON2,JOYCODE_1_BUTTON1 OR JOYCODE_2_BUTTON3 OR JOYCODE_3_BUTTON1 OR JOYCODE_4_BUTTON2
P1_BUTTON2,JOYCODE_1_BUTTON1 OR JOYCODE_2_BUTTON1 OR JOYCODE_3_BUTTON1 OR JOYCODE_4_BUTTON1,JOYCODE_1_BUTTON2 OR JOYCODE_2_BUTTON2 OR JOYCODE_3_BUTTON2 OR JOYCODE_4_BUTTON3
P1_BUTTON3,JOYCODE_1_BUTTON4 OR JOYCODE_2_BUTTON4 OR JOYCODE_3_BUTTON5 OR JOYCODE_4_BUTTON4,JOYCODE_1_BUTTON3 OR JOYCODE_2_BUTTON4 OR JOYCODE_3_BUTTON3 OR JOYCODE_4_BUTTON6
P1_BUTTON4,JOYCODE_1_BUTTON3 OR JOYCODE_2_BUTTON3 OR JOYCODE_3_BUTTON6 OR JOYCODE_4_BUTTON3,JOYCODE_1_BUTTON4 OR JOYCODE_2_BUTTON1 OR JOYCODE_3_BUTTON4 OR JOYCODE_4_BUTTON1
P1_BUTTON5,JOYCODE_2_BUTTON5 OR JOYCODE_4_BUTTON5,KEYCODE_Z OR JOYCODE_2_BUTTON11 OR JOYCODE_4_BUTTON4
P1_BUTTON6,JOYCODE_2_BUTTON6 OR JOYCODE_4_BUTTON6,KEYCODE_X OR JOYCODE_2_BUTTON12 OR JOYCODE_4_BUTTON5
P1_START,JOYCODE_1_START OR JOYCODE_2_START OR JOYCODE_3_START OR JOYCODE_4_START,KEYCODE_1 OR JOYCODE_1_BUTTON5 OR JOYCODE_2_BUTTON10 OR JOYCODE_3_BUTTON6 OR JOYCODE_4_BUTTON9
P1_SELECT,JOYCODE_1_SELECT OR JOYCODE_2_SELECT OR JOYCODE_3_SELECT OR JOYCODE_4_SELECT,KEYCODE_5 OR JOYCODE_1_BUTTON6 OR JOYCODE_2_BUTTON9 OR JOYCODE_3_BUTTON5 OR JOYCODE_4_BUTTON10
P2_JOYSTICK_UP,KEYCODE_R OR JOYCODE_5_YAXIS_UP_SWITCH OR JOYCODE_5_HAT1UP,KEYCODE_R OR JOYCODE_5_YAXIS_UP_SWITCH
P2_JOYSTICK_DOWN,KEYCODE_F OR JOYCODE_5_YAXIS_DOWN_SWITCH OR JOYCODE_5_HAT1DOWN,KEYCODE_F OR JOYCODE_5_YAXIS_DOWN_SWITCH
P2_JOYSTICK_LEFT,KEYCODE_D OR JOYCODE_5_XAXIS_LEFT_SWITCH OR JOYCODE_5_HAT1LEFT,KEYCODE_D OR JOYCODE_5_XAXIS_LEFT_SWITCH
P2_JOYSTICK_RIGHT,KEYCODE_G OR JOYCODE_5_XAXIS_RIGHT_SWITCH OR JOYCODE_5_HAT1RIGHT,KEYCODE_G OR JOYCODE_5_XAXIS_RIGHT_SWITCH
P2_BUTTON1,KEYCODE_A OR JOYCODE_5_BUTTON2,KEYCODE_A OR JOYCODE_5_BUTTON2
P2_BUTTON2,KEYCODE_S OR JOYCODE_5_BUTTON3,KEYCODE_S OR JOYCODE_5_BUTTON3
P2_BUTTON3,KEYCODE_Q OR JOYCODE_5_BUTTON6,KEYCODE_Q OR JOYCODE_5_BUTTON6
P2_BUTTON4,KEYCODE_W OR JOYCODE_5_BUTTON1,KEYCODE_W OR JOYCODE_5_BUTTON1
P2_BUTTON5,KEYCODE_E OR JOYCODE_5_BUTTON4,KEYCODE_E OR JOYCODE_5_BUTTON4
P2_BUTTON6,JOYCODE_5_BUTTON5,JOYCODE_5_BUTTON5
P2_START,KEYCODE_2 OR JOYCODE_5_START OR JOYCODE_1_BUTTON5,KEYCODE_2 OR JOYCODE_1_BUTTON7 OR JOYCODE_5_BUTTON9
P2_SELECT,KEYCODE_6 OR JOYCODE_5_SELECT,KEYCODE_6 OR JOYCODE_1_BUTTON6 OR JOYCODE_5_BUTTON10
START1,KEYCODE_1 OR JOYCODE_1_START OR JOYCODE_2_START OR JOYCODE_3_START OR JOYCODE_4_START,KEYCODE_1 OR JOYCODE_1_BUTTON5 OR JOYCODE_2_BUTTON10 OR JOYCODE_3_BUTTON6 OR JOYCODE_4_BUTTON9
START2,KEYCODE_2 OR JOYCODE_5_START OR JOYCODE_1_BUTTON5,KEYCODE_2 OR JOYCODE_1_BUTTON7 OR JOYCODE_5_BUTTON9
COIN1,KEYCODE_5 OR JOYCODE_1_SELECT OR JOYCODE_2_SELECT OR JOYCODE_3_SELECT OR JOYCODE_4_SELECT,KEYCODE_5 OR JOYCODE_1_BUTTON6 OR JOYCODE_2_BUTTON9 OR JOYCODE_3_BUTTON5 OR JOYCODE_4_BUTTON10
COIN2,KEYCODE_6 OR JOYCODE_5_SELECT,KEYCODE_6 OR JOYCODE_5_BUTTON10
UI_SELECT,JOYCODE_1_BUTTON2,KEYCODE_ENTER OR JOYCODE_1_BUTTON1 OR JOYCODE_2_BUTTON3 OR JOYCODE_3_BUTTON1 OR JOYCODE_4_BUTTON2 OR JOYCODE_5_BUTTON2
UI_BACK,JOYCODE_1_BUTTON1,KEYCODE_BACKSPACE OR JOYCODE_1_BUTTON2 OR JOYCODE_2_BUTTON2 OR JOYCODE_3_BUTTON2 OR JOYCODE_4_BUTTON3 OR JOYCODE_5_BUTTON3
